0 [main] INFO kafka.utils.VerifiableProperties  - Verifying properties
37 [main] WARN kafka.utils.VerifiableProperties  - Property auto.offset.reset is not valid
37 [main] WARN kafka.utils.VerifiableProperties  - Property bootstrap.servers is not valid
37 [main] WARN kafka.utils.VerifiableProperties  - Property destination.topic is not valid
37 [main] WARN kafka.utils.VerifiableProperties  - Property group.id is not valid
37 [main] WARN kafka.utils.VerifiableProperties  - Property key.serializer is not valid
38 [main] INFO kafka.utils.VerifiableProperties  - Property metadata.broker.list is overridden to localhost:9092
39 [main] WARN kafka.utils.VerifiableProperties  - Property source.topic is not valid
39 [main] WARN kafka.utils.VerifiableProperties  - Property value.serializer is not valid
39 [main] WARN kafka.utils.VerifiableProperties  - Property zookeeper.connect is not valid
