0 [main] INFO kafka.utils.VerifiableProperties  - Verifying properties
28 [main] WARN kafka.utils.VerifiableProperties  - Property auto.offset.reset is not valid
29 [main] WARN kafka.utils.VerifiableProperties  - Property destination.topic is not valid
29 [main] WARN kafka.utils.VerifiableProperties  - Property group.id is not valid
29 [main] INFO kafka.utils.VerifiableProperties  - Property metadata.broker.list is overridden to zion-mainframe:9092
30 [main] WARN kafka.utils.VerifiableProperties  - Property source.topic is not valid
30 [main] WARN kafka.utils.VerifiableProperties  - Property zookeeper.connect is not valid
2344 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Handling 1 events
2364 [main] INFO kafka.client.ClientUtils$  - Fetching metadata from broker BrokerEndPoint(0,zion-mainframe,9092) with correlation id 0 for 1 topic(s) Set(earth_to_curiosity_5)
2404 [main] DEBUG kafka.network.BlockingChannel  - Created socket with SO_TIMEOUT = 10000 (requested 10000), SO_RCVBUF = 530904 (requested -1), SO_SNDBUF = 102400 (requested 102400), connectTimeoutMs = 10000.
2405 [main] INFO kafka.producer.SyncProducer  - Connected to zion-mainframe:9092 for producing
2413 [main] INFO kafka.producer.SyncProducer  - Disconnecting from zion-mainframe:9092
2414 [main] DEBUG kafka.client.ClientUtils$  - Successfully fetched metadata for 1 topic(s) Set(earth_to_curiosity_5)
2422 [main] DEBUG kafka.producer.BrokerPartitionInfo  - Getting broker partition info for topic earth_to_curiosity_5
2422 [main] DEBUG kafka.producer.BrokerPartitionInfo  - Partition [earth_to_curiosity_5,0] has leader 0
2423 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Broker partitions registered for topic: earth_to_curiosity_5 are 0
2426 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Sending 1 messages with no compression to [earth_to_curiosity_5,0]
2431 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Producer sending messages with correlation id 2 for topics [earth_to_curiosity_5,0] to broker 0 on zion-mainframe:9092
2436 [main] DEBUG kafka.network.BlockingChannel  - Created socket with SO_TIMEOUT = 10000 (requested 10000), SO_RCVBUF = 530904 (requested -1), SO_SNDBUF = 102400 (requested 102400), connectTimeoutMs = 10000.
2436 [main] INFO kafka.producer.SyncProducer  - Connected to zion-mainframe:9092 for producing
2438 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Producer sent messages with correlation id 2 for topics [earth_to_curiosity_5,0] to broker 0 on zion-mainframe:9092
